verim:-30-masa sayısı:83-garson sayısı:60-asçı sayısı:53-bekleyen müşteriler:166-giden müşteri0
verim:87-masa sayısı:41-garson sayısı:33-asçı sayısı:5-bekleyen müşteriler:166-giden müşteri0
verim:124-masa sayısı:20-garson sayısı:18-asçı sayısı:4-bekleyen müşteriler:166-giden müşteri0
verim:215-masa sayısı:10-garson sayısı:3-asçı sayısı:1-bekleyen müşteriler:166-giden müşteri63
verim:247-masa sayısı:5-garson sayısı:4-asçı sayısı:4-bekleyen müşteriler:166-giden müşteri94
verim:289-masa sayısı:2-garson sayısı:2-asçı sayısı:2-bekleyen müşteriler:166-giden müşteri129
verim:307-masa sayısı:1-garson sayısı:2-asçı sayısı:3-bekleyen müşteriler:166-giden müşteri147
verim:319-masa sayısı:0-garson sayısı:1-asçı sayısı:2-bekleyen müşteriler:166-giden müşteri156
verim:324-masa sayısı:0-garson sayısı:1-asçı sayısı:1-bekleyen müşteriler:166-giden müşteri160
verim:325-masa sayısı:0-garson sayısı:1-asçı sayısı:2-bekleyen müşteriler:166-giden müşteri162
verim:35-masa sayısı:83-garson sayısı:43-asçı sayısı:5-bekleyen müşteriler:166-giden müşteri0
verim:100-masa sayısı:41-garson sayısı:16-asçı sayısı:9-bekleyen müşteriler:166-giden müşteri0
verim:141-masa sayısı:20-garson sayısı:3-asçı sayısı:2-bekleyen müşteriler:166-giden müşteri0
verim:210-masa sayısı:10-garson sayısı:8-asçı sayısı:1-bekleyen müşteriler:166-giden müşteri63
verim:243-masa sayısı:5-garson sayısı:6-asçı sayısı:6-bekleyen müşteriler:166-giden müşteri94
verim:288-masa sayısı:2-garson sayısı:3-asçı sayısı:2-bekleyen müşteriler:166-giden müşteri129
verim:309-masa sayısı:1-garson sayısı:2-asçı sayısı:1-bekleyen müşteriler:166-giden müşteri147
verim:320-masa sayısı:0-garson sayısı:1-asçı sayısı:1-bekleyen müşteriler:166-giden müşteri156
verim:323-masa sayısı:0-garson sayısı:1-asçı sayısı:2-bekleyen müşteriler:166-giden müşteri160
verim:325-masa sayısı:0-garson sayısı:1-asçı sayısı:2-bekleyen müşteriler:166-giden müşteri162
verim:59-masa sayısı:83-garson sayısı:21-asçı sayısı:3-bekleyen müşteriler:166-giden müşteri0
verim:83-masa sayısı:41-garson sayısı:22-asçı sayısı:20-bekleyen müşteriler:166-giden müşteri0
verim:137-masa sayısı:20-garson sayısı:6-asçı sayısı:3-bekleyen müşteriler:166-giden müşteri0
verim:211-masa sayısı:10-garson sayısı:6-asçı sayısı:2-bekleyen müşteriler:166-giden müşteri63
verim:246-masa sayısı:5-garson sayısı:4-asçı sayısı:5-bekleyen müşteriler:166-giden müşteri94
verim:289-masa sayısı:2-garson sayısı:3-asçı sayısı:1-bekleyen müşteriler:166-giden müşteri129
verim:307-masa sayısı:1-garson sayısı:2-asçı sayısı:3-bekleyen müşteriler:166-giden müşteri147
verim:320-masa sayısı:0-garson sayısı:1-asçı sayısı:1-bekleyen müşteriler:166-giden müşteri156
verim:324-masa sayısı:0-garson sayısı:1-asçı sayısı:1-bekleyen müşteriler:166-giden müşteri160
verim:326-masa sayısı:0-garson sayısı:1-asçı sayısı:1-bekleyen müşteriler:166-giden müşteri162
verim:33-masa sayısı:83-garson sayısı:25-asçı sayısı:25-bekleyen müşteriler:166-giden müşteri0
verim:74-masa sayısı:41-garson sayısı:30-asçı sayısı:21-bekleyen müşteriler:166-giden müşteri0
verim:112-masa sayısı:20-garson sayısı:19-asçı sayısı:15-bekleyen müşteriler:166-giden müşteri0
verim:206-masa sayısı:10-garson sayısı:8-asçı sayısı:5-bekleyen müşteriler:166-giden müşteri63
verim:245-masa sayısı:5-garson sayısı:5-asçı sayısı:5-bekleyen müşteriler:166-giden müşteri94
verim:287-masa sayısı:2-garson sayısı:3-asçı sayısı:3-bekleyen müşteriler:166-giden müşteri129
